Code,Object,Showcase,Caption,Current_Status,Link,Existing_Object,Notes,Acquisition_Institution_Responsible,Acquisition_People_Responsible,Acquisition_Technique,Acquisition_Equipment,Acquisition_License,Processing_Institution_Responsible,Processing_People_Responsible,Processing_Equipment,Processing_Timing_Start_Date_(MM-DD),Processing_Timing_End_Date_(MM-DD),Processing_License,Modeling_Institution_Responsible,Modeling_People_Responsible,Modeling_Equipment,Modeling_Timing_Start_Date_(MM-DD),Modeling_Timing_End_Date_(MM-DD),Modeling_License,Optimization_Institution_Responsible,Optimization_People_Responsible,Optimization_Equipment,Optimization_Timing_Start_Date_(MM-DD),Optimization_Timing_End_Date_(MM-DD),Optimization_License,Export_Institution_Responsible,Export_People_Responsible,Export_Equipment,Export_Timing_Start_Date_(MM-DD),Export_Timing_End_Date_(MM-DD),Export_License,Metadata_Institution_Responsible,Metadata_People_Responsible,Metadata_Equipment,Metadata_Timing_Start_Date_(MM-DD),Metadata_Timing_End_Date_(MM-DD),Metadata_License,Upload_to_ATON_Institution_Responsible,Upload_to_ATON_People_Responsible,Upload_to_ATON_Equipment,Upload_to_ATON_Timing_Start_Date_(MM-DD),Upload_to_ATON_Timing_End_Date_(MM-DD),Upload_License,Acquisition_Timing_End_Date_(MM-DD),Acquisition_Timing_Start_Date_(MM-DD),Room
12584,decorative globe on a stand; wig holder,,Ball resting on a pedestal (wig stand) with blue monochrome decoration of three medallions of flowers and foliage,5 - Exported,,,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste; François Giligny,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste,Artec Studio,2024_06_10,2024_07_01,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste; Arianna Moretti,Blender,2024_08_10,2024_10_05,,University of Bologna,Arianna Moretti,Blender,2024_11_10,2024_12_05,,University of Bologna,Arianna Moretti,Blender / glTF exporter,2024_12_10,2024_12_15,,,,,,,,,,,,,,2024_05_20,2024_05_05,
20548,plate,,"Milanese earthenware, 18th century: large oval bowl, contoured, polychrome high-fire decoration. On the rim, Indian flowers, birds and insects. On the bottom, cartouche containing two figures in an architectural landscape in blue and manganese monochrome",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4187,1",coffee pot,,"terraglia coffee pot with blue dechalcomania decoration representing a seascape with a sailboat
",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN_Alberghi,oil cruet,,"oil cruet holder with antique decorations: obelisk and friezes
",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1615,2",vase,,large porcealin vase with floral decorations,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1604,2",plate,,small porcelain plate with golden decorations,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1607,2",plate,,small porcelain plate with waves and birds decorations,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1609,2",plate,,small plate with tree and deer decorations,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2",plate,,small porcelain plate with landscape and floral decorations,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2",plate,,small porcelain plate with landscape and floral decorations,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2",plate,,small porcelain plate with landscape and floral decorations,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2",plate,,small porcelain plate with landscape and floral decorations,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2",plate,,small porcelain plate with landscape and floral decorations,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2",plate,,small porcelain plate with landscape and floral decorations,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2",plate,,small porcelain plate with landscape and floral decorations,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2",plate,,small porcelain plate with landscape and floral decorations,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
